Kontakt_Id;Kennzeichen;Datum_ez;Datum_hu;Km_stand;Letzter_besuch;Kontakt_Name
2002;HVL-GI 443;10.03.1999;01.03.2002;210158;01.12.2001;Fa. Portmann GmbH & Co.KG
2002;HVL-UI 519;06.12.2001;01.12.2004;91986;01.07.2003;Fa. Portmann GmbH & Co.KG
2004;NAU-NF 805;19.12.1992;01.12.2003;194000;01.04.2002;Fa. Kleinemeyergesellschaft mbH
2005;P-XF 956;08.03.2000;01.03.2003;11775;01.10.2000;Martine Krogel
2005;BBL 7-BW 205;05.12.2002;01.12.2005;29632;01.09.2003;Martine Krogel
2005;BBL 7-BG 194;24.09.2003;01.09.2006;28330;01.09.2004;Martine Krogel
2005;BBL 7-PV 154;14.05.2001;01.05.2004;27000;01.03.2002;Martine Krogel
2005;PM-BS 27;13.07.2000;01.07.2003;17763;01.04.2001;Martine Krogel
2005;BBL 7-OO 680;12.07.2002;01.07.2005;26165;01.06.2003;Martine Krogel
2005;BBL 7-JX 468;04.07.2003;01.07.2006;29225;01.06.2004;Martine Krogel
2005;BBL 7-FM 65;21.05.2002;01.05.2005;15063;01.12.2002;Martine Krogel
2005;BBL 7-VD 946;29.11.2001;01.12.2004;26395;01.11.2002;Martine Krogel
2005;BBL 7-XU 72;23.09.2003;01.09.2006;26104;01.07.2004;Martine Krogel
2005;OHV-QB 92;12.07.1999;01.07.2004;28775;01.07.2000;Martine Krogel
2005;BBL 7-HP 281;02.03.2001;01.03.2004;19550;01.02.2002;Martine Krogel
2006;P-BQ 232;28.12.1992;01.01.2002;120000;01.09.2000;Fa. Tziopanos AG
2006;P-WL 872;08.05.2000;01.05.2003;5080;01.03.2001;Fa. Tziopanos AG
2006;P-AX 286;15.06.1993;01.05.2003;0;01.10.2001;Fa. Tziopanos AG
2006;P-KR 691;29.01.2004;01.01.2007;23492;01.07.2004;Fa. Tziopanos AG
2006;P-OU 700;16.06.1993;01.07.2002;0;01.12.2000;Fa. Tziopanos AG
2006;P-ID 431;17.09.2001;01.09.2004;34500;01.09.2003;Fa. Tziopanos AG
2006;P-BP 859;15.07.1993;01.12.2000;103330;01.05.2000;Fa. Tziopanos AG
2006;P-NF 768;19.09.2001;01.09.2004;16101;01.07.2002;Fa. Tziopanos AG
2006;P-KV 776;23.07.1993;01.12.2002;131141;01.01.2003;Fa. Tziopanos AG
2006;P-EP 864;21.08.1998;01.08.2001;37000;01.12.2000;Fa. Tziopanos AG
2006;P-RD 705;16.01.1995;01.03.2001;53416;01.03.2001;Fa. Tziopanos AG
2006;P-XS 346;21.08.1998;01.08.2001;57311;01.06.2001;Fa. Tziopanos AG
2006;P-EO 69;17.12.1992;01.01.2001;88000;01.05.2000;Fa. Tziopanos AG
2006;P-XG 819;21.08.1998;01.08.2001;54235;01.08.2001;Fa. Tziopanos AG
2006;P-VQ 475;16.11.1992;01.11.2002;12600;01.12.2000;Fa. Tziopanos AG
2006;P-RU 513;16.05.2001;01.05.2004;14001;01.05.2002;Fa. Tziopanos AG
2006;P-AI 126;18.03.1993;01.06.2002;91252;01.01.2001;Fa. Tziopanos AG
2006;P-AT 118;12.03.1999;01.03.2004;57560;01.06.2002;Fa. Tziopanos AG
2006;P-TM 577;12.07.1993;01.02.2001;0;01.03.2000;Fa. Tziopanos AG
2006;P-DM 982;12.03.1999;01.03.2002;26880;01.03.2002;Fa. Tziopanos AG
2006;P-CY 634;10.02.1993;01.05.2002;112937;01.12.2000;Fa. Tziopanos AG
2006;P-RW 2;28.06.1993;01.06.2000;49000;01.06.2000;Fa. Tziopanos AG
2006;P-QO 981;22.05.2001;01.05.2004;13685;01.05.2002;Fa. Tziopanos AG
2006;P-YW 638;21.10.1998;01.10.2003;107020;01.11.2001;Fa. Tziopanos AG
2006;P-HP 626;23.07.1993;01.08.2001;71000;01.08.2001;Fa. Tziopanos AG
2006;P-HK 822;17.11.1992;01.05.2002;17000;01.03.2002;Fa. Tziopanos AG
2006;P-SI 917;21.10.1998;01.10.2002;27213;01.04.2002;Fa. Tziopanos AG
2007;P-QT 56;28.05.1998;01.05.2003;243067;01.09.2001;Geerd Kowsky
2007;P-DJ 70;20.12.1999;01.12.2004;208656;01.04.2004;Geerd Kowsky
2007;P-GL 613;25.01.2000;01.01.2005;332081;01.03.2003;Geerd Kowsky
2007;P-XH 138;16.01.1998;01.01.2003;10525;01.07.2002;Geerd Kowsky
2007;B-QC 720;15.11.2002;01.11.2005;0;01.11.2002;Geerd Kowsky
2007;P-AF 167;08.11.2002;01.11.2005;64825;01.06.2004;Geerd Kowsky
2007;P-FW 929;17.09.2003;01.09.2006;30032;01.11.2004;Geerd Kowsky
2007;P-FI 129;26.11.1997;01.11.2000;252207;01.05.2000;Geerd Kowsky
2007;P-LE 203;22.10.1998;01.10.2004;309127;01.11.2002;Geerd Kowsky
2007;P-LF 483;29.05.1998;01.05.2001;195829;01.12.2000;Geerd Kowsky
2007;P-NX 12;31.08.1999;01.09.2004;269625;01.09.2003;Geerd Kowsky
2007;P-TD 971;23.02.2000;01.02.2006;151984;01.10.2004;Geerd Kowsky
2007;P-ES 235;07.07.1998;01.07.2004;240943;01.03.2003;Geerd Kowsky
